patient_image,center,gt_normal,gt_tumor,normal,tumor
data/train/patch_patient_010_node_4_x_16672_y_23648.png,0,1,0,0.0,1.0
data/train/patch_patient_009_node_1_x_11680_y_25088.png,0,1,0,0.004671573638916016,0.995328426361084
data/train/patch_patient_015_node_1_x_16160_y_28192.png,0,1,0,0.9999939648869258,6.035113074176479e-06
data/train/patch_patient_004_node_4_x_3328_y_21824.png,0,0,1,1.0,0.0
data/train/patch_patient_099_node_4_x_20192_y_2944.png,4,0,1,1.0,1.6560061564721783e-17
data/train/patch_patient_099_node_4_x_11584_y_11552.png,4,1,0,1.0728836059570312e-06,0.999998927116394
data/train/patch_patient_099_node_4_x_18944_y_4896.png,4,0,1,0.9999999996737905,3.2620955936479845e-10
data/train/patch_patient_010_node_4_x_18752_y_15680.png,0,0,1,1.0,3.5182440452783446e-36
data/train/patch_patient_009_node_1_x_14368_y_38560.png,0,1,0,0.4474223256111145,0.5525776743888855
data/train/patch_patient_017_node_1_x_10560_y_29440.png,0,1,0,0.9999999999999999,6.685311430089502e-17
data/train/patch_patient_087_node_0_x_5696_y_7968.png,4,1,0,0.9999388682117569,6.113178824307397e-05
data/train/patch_patient_009_node_1_x_15104_y_36832.png,0,1,0,0.9999999999999927,7.32079395476988e-15
data/train/patch_patient_017_node_1_x_5440_y_15136.png,0,1,0,0.0,1.0
data/train/patch_patient_015_node_1_x_10208_y_36928.png,0,0,1,0.9999998968773838,1.031226162240273e-07
data/train/patch_patient_010_node_4_x_9248_y_25504.png,0,1,0,0.9999999999999303,6.968081981643254e-14
data/train/patch_patient_016_node_1_x_14880_y_34272.png,0,1,0,0.9999999999382309,6.176909678190512e-11
data/train/patch_patient_010_node_4_x_8864_y_17696.png,0,1,0,1.0,4.214437771220746e-27
data/train/patch_patient_010_node_4_x_18944_y_16480.png,0,0,1,0.9999995245623552,4.754376448090625e-07
data/train/patch_patient_012_node_0_x_5056_y_25664.png,0,0,1,1.0,3.932777771290743e-39
data/train/patch_patient_099_node_4_x_18912_y_2208.png,4,0,1,1.0,2.2600603579870004e-30
data/train/patch_patient_088_node_1_x_10208_y_7680.png,4,1,0,1.0,3.277744921349814e-32
data/train/patch_patient_099_node_4_x_13088_y_17760.png,4,1,0,1.0,0.0
data/train/patch_patient_099_node_4_x_13056_y_9504.png,4,1,0,0.9999999999999999,7.203110611679936e-17
data/train/patch_patient_087_node_0_x_42048_y_13824.png,4,1,0,0.9999999978672971,2.1327029031681377e-09
data/train/patch_patient_015_node_1_x_5856_y_37312.png,0,1,0,0.9999999572346212,4.276537879377429e-08
