image,objects_detected,label
data/train/images/2007_000061.jpg,"[[3, 0.99719375, 268, 17, 168, 248], [3, 0.9864223, 186, 210, 94, 41]]","[[3, 1, 274, 11, 163, 268], [3, 1, 184, 214, 97, 38]]"
data/train/images/2007_000121.jpg,"[[19, 0.99933785, 25, 22, 210, 243], [19, 0.9997274, 252, 28, 217, 251]]","[[19, 1, 251, 28, 224, 239], [19, 1, 22, 28, 229, 245]]"
data/train/images/2007_000572.jpg,"[[1, 0.99725986, 9, 119, 217, 200]]","[[1, 1, 1, 178, 234, 153], [1, 1, 8, 134, 218, 163]]"
data/train/images/2007_000830.jpg,"[[10, 0.99671376, 129, 180, 218, 188], [8, 0.981826, 146, 217, 109, 161], [8, 0.96625155, 243, 171, 62, 78], [8, 0.98698914, 248, 181, 108, 177]]","[[10, 1, 124, 182, 228, 188], [8, 1, 150, 221, 109, 154], [8, 1, 252, 201, 96, 146], [8, 1, 250, 175, 68, 73]]"
data/train/images/2007_000837.jpg,"[[3, 0.9903143, 258, 63, 105, 92]]","[[3, 1, 261, 65, 104, 94]]"
data/train/images/2007_001185.jpg,"[[14, 0.9880605, 80, 77, 202, 301], [7, 0.80343103, 192, 195, 97, 126], [10, 0.99447757, 200, 226, 297, 155], [4, 0.9903325, 451, 126, 47, 117], [4, 0.9692658, 408, 158, 43, 89], [8, 0.9038565, 377, 187, 40, 44]]","[[7, 1, 197, 199, 92, 124], [14, 1, 78, 78, 211, 297], [10, 1, 204, 223, 296, 152], [4, 1, 452, 131, 48, 122]]"
data/train/images/2007_001408.jpg,"[[14, 0.9993766, 64, 88, 272, 301], [14, 0.9984877, 212, -5, 125, 113], [14, 0.78226465, 48, 99, 152, 279], [15, 0.9899896, 121, 0, 60, 128], [4, 0.86476034, 0, 52, 34, 138], [4, 0.9900645, 22, 66, 27, 107], [4, 0.9977495, 112, 249, 61, 201]]","[[4, 1, 114, 245, 64, 203], [14, 1, 56, 107, 174, 280], [4, 1, 20, 68, 30, 99], [14, 1, 210, 1, 123, 107], [14, 1, 84, 87, 249, 279], [15, 1, 119, 1, 65, 129]]"
data/train/images/2007_002400.jpg,"[[2, 0.9998083, 15, -11, 269, 537]]","[[2, 1, 2, 27, 303, 472]]"
data/train/images/2007_002427.jpg,"[[17, 0.99646235, 6, 70, 120, 160], [17, 0.98839265, 151, 143, 109, 87], [15, 0.9514359, 257, 182, 61, 57]]","[[17, 1, 161, 143, 100, 85], [17, 1, 1, 60, 136, 180], [15, 1, 253, 181, 67, 59]]"
data/train/images/2007_002462.jpg,"[[18, 0.9987468, 40, 72, 461, 84]]","[[18, 1, 54, 75, 446, 83]]"
data/train/images/2007_002545.jpg,"[[17, 0.9880585, -13, 30, 271, 369], [17, 0.8696688, 240, 65, 130, 225], [14, 0.9978522, 68, 35, 142, 448], [4, 0.9971306, 184, 63, 27, 70]]","[[14, 1, 75, 43, 131, 453], [4, 1, 181, 62, 30, 70], [17, 1, 3, 27, 245, 367], [17, 1, 242, 77, 133, 203]]"
data/train/images/2007_003251.jpg,"[[8, 0.9822329, 262, 160, 107, 115], [10, 0.9943412, 117, 162, 275, 188], [8, 0.99860424, 279, 224, 160, 149], [8, 0.9832965, 135, 139, 65, 105], [8, 0.8778965, 112, 166, 108, 166]]","[[10, 1, 120, 159, 272, 181], [8, 1, 278, 226, 168, 149], [8, 1, 258, 158, 95, 125], [8, 1, 109, 174, 109, 156], [8, 1, 135, 148, 67, 85]]"
data/train/images/2007_003330.jpg,"[[2, 0.9799603, 263, 98, 110, 149], [2, 0.99513525, 157, 74, 80, 71]]","[[2, 1, 268, 96, 107, 151], [2, 1, 166, 70, 72, 76]]"
data/train/images/2007_004121.jpg,"[[14, 0.99734306, 238, 92, 108, 140], [14, 0.995746, 164, 136, 66, 89], [15, 0.98736537, 21, 160, 81, 91]]","[[15, 1, 19, 154, 89, 109], [14, 1, 220, 92, 127, 150], [14, 1, 164, 142, 63, 77]]"
data/train/images/2007_004281.jpg,"[[18, 0.9985178, 271, 3, 222, 350], [14, 0.9942637, 451, 206, 48, 161]]","[[18, 1, 270, 1, 230, 374], [14, 1, 447, 260, 53, 115]]"
data/train/images/2007_004705.jpg,"[[5, 0.8780461, 394, 178, 55, 46], [6, 0.9671364, 486, 194, 14, 25], [6, 0.8189259, 2, 204, 96, 66]]","[[5, 1, 394, 181, 61, 45], [6, 1, 1, 206, 103, 64]]"
data/train/images/2007_004770.jpg,"[[14, 0.999641, 84, -10, 249, 517]]","[[14, 1, 83, 2, 252, 498]]"
data/train/images/2007_004810.jpg,"[[6, 0.9956132, 13, 232, 161, 119], [14, 0.8019034, 107, 203, 13, 35], [6, 0.87843955, 264, 205, 40, 45], [14, 0.60975254, 306, 209, 10, 42], [6, 0.98819274, 236, 215, 39, 48], [6, 0.9913752, 174, 218, 77, 69], [14, 0.99917156, 356, 210, 23, 73], [14, 0.99800515, 390, 212, 24, 74], [14, 0.998385, 413, 217, 28, 80]]","[[6, 1, 8, 238, 178, 102], [6, 1, 180, 226, 74, 64], [6, 1, 242, 217, 44, 45], [6, 1, 263, 202, 49, 43], [14, 1, 358, 212, 27, 71], [14, 1, 413, 219, 35, 86], [14, 1, 389, 209, 31, 78]]"
data/train/images/2007_005058.jpg,"[[16, 0.9938018, 125, 267, 52, 37], [16, 0.9401717, 83, 285, 38, 29], [16, 0.5720019, 107, 284, 21, 23]]","[[16, 1, 131, 266, 46, 38], [16, 1, 86, 285, 41, 30]]"
data/train/images/2007_005294.jpg,"[[4, 0.99865735, 148, -22, 289, 424]]","[[4, 1, 135, 2, 348, 373]]"
